2024-03-26 19:21:40,575 - MVC.controller.ai - INFO - angle parcourue 72.0, angle 90
2024-03-26 19:21:40,576 - MVC.controller.ai - INFO - angle parcourue 72.0, angle 90
2024-03-26 19:21:40,576 - MVC.controller.ai - INFO - angle parcourue 73.0, angle 90
2024-03-26 19:21:40,577 - MVC.controller.ai - INFO - angle parcourue 73.0, angle 90
2024-03-26 19:21:40,577 - MVC.controller.ai - INFO - angle parcourue 74.0, angle 90
2024-03-26 19:21:40,578 - MVC.controller.ai - INFO - angle parcourue 74.0, angle 90
2024-03-26 19:21:40,578 - MVC.controller.ai - INFO - angle parcourue 75.0, angle 90
2024-03-26 19:21:40,579 - MVC.controller.ai - INFO - angle parcourue 75.0, angle 90
2024-03-26 19:21:40,579 - MVC.controller.ai - INFO - angle parcourue 76.0, angle 90
2024-03-26 19:21:40,581 - MVC.controller.ai - INFO - angle parcourue 76.0, angle 90
2024-03-26 19:21:40,581 - MVC.controller.ai - INFO - angle parcourue 77.0, angle 90
2024-03-26 19:21:40,582 - MVC.controller.ai - INFO - angle parcourue 77.0, angle 90
2024-03-26 19:21:40,582 - MVC.controller.ai - INFO - angle parcourue 78.0, angle 90
2024-03-26 19:21:40,583 - MVC.controller.ai - INFO - angle parcourue 78.0, angle 90
2024-03-26 19:21:40,583 - MVC.controller.ai - INFO - angle parcourue 79.0, angle 90
2024-03-26 19:21:40,584 - MVC.controller.ai - INFO - angle parcourue 79.0, angle 90
2024-03-26 19:21:40,584 - MVC.controller.ai - INFO - angle parcourue 80.0, angle 90
2024-03-26 19:21:40,585 - MVC.controller.ai - INFO - angle parcourue 80.0, angle 90
2024-03-26 19:21:40,585 - MVC.controller.ai - INFO - angle parcourue 81.0, angle 90
2024-03-26 19:21:40,586 - MVC.controller.ai - INFO - angle parcourue 81.0, angle 90
2024-03-26 19:21:40,586 - MVC.controller.ai - INFO - angle parcourue 82.0, angle 90
2024-03-26 19:21:40,588 - MVC.controller.ai - INFO - angle parcourue 82.0, angle 90
2024-03-26 19:21:40,588 - MVC.controller.ai - INFO - angle parcourue 83.0, angle 90
2024-03-26 19:21:40,589 - MVC.controller.ai - INFO - angle parcourue 83.0, angle 90
2024-03-26 19:21:40,589 - MVC.controller.ai - INFO - angle parcourue 84.0, angle 90
2024-03-26 19:21:40,590 - MVC.controller.ai - INFO - angle parcourue 84.0, angle 90
2024-03-26 19:21:40,590 - MVC.controller.ai - INFO - angle parcourue 85.0, angle 90
2024-03-26 19:21:40,591 - MVC.controller.ai - INFO - angle parcourue 85.0, angle 90
2024-03-26 19:21:40,591 - MVC.controller.ai - INFO - angle parcourue 86.0, angle 90
2024-03-26 19:21:40,592 - MVC.controller.ai - INFO - angle parcourue 86.0, angle 90
2024-03-26 19:21:40,592 - MVC.controller.ai - INFO - angle parcourue 87.0, angle 90
2024-03-26 19:21:40,594 - MVC.controller.ai - INFO - angle parcourue 87.0, angle 90
2024-03-26 19:21:40,594 - MVC.controller.ai - INFO - angle parcourue 88.0, angle 90
2024-03-26 19:21:40,595 - MVC.controller.ai - INFO - angle parcourue 88.0, angle 90
2024-03-26 19:21:40,595 - MVC.controller.ai - INFO - angle parcourue 89.0, angle 90
2024-03-26 19:21:40,596 - MVC.controller.ai - INFO - angle parcourue 89.0, angle 90
2024-03-26 19:21:40,596 - MVC.controller.ai - INFO - angle parcourue 90.0, angle 90
