2024-03-26 20:17:15,396 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,396 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,397 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,397 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,398 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,398 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,399 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,399 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,399 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,399 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,400 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,400 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,400 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,401 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,401 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,401 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,402 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,402 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,403 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,403 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,404 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,404 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,405 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,405 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,405 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,405 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,406 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,406 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,407 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,407 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,408 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,408 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,409 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,409 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,409 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,410 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,411 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,411 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,411 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,411 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,412 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,412 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,413 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,413 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,414 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,414 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,414 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,414 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,415 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,415 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,416 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,416 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,416 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,417 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,417 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,417 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,418 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,418 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,419 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,419 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,419 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,419 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,420 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,420 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,421 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,421 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,422 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,422 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,422 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,423 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,423 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,423 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,424 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,424 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,424 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,424 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,425 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
